P_CUSTOMER_NAME,P_INVOICE_NUM,P_INVOICE_DATE,P_INVOICE_AMOUNT,BILL_CUSTOMER_NAME,BILL_ACCOUNT_NUMBER,BILL_SITE,BILL_PARTY_SITE_NUMBER,SHIP_CUSTOMER_NAME,SHIP_SITE_NUMBER,BUSINESS_UNIT,TRANSACTION_TYPE_NAME,TRANSACTION_NUMBER,CURRENCY,TRANSACTION_DATE,TOTAL_AMOUNTS,BATCH_SOURCE_NAME,AMOUNT_DUE_ORIGINAL,AMOUNT_DUE_REMAINING,TRANSACTION_TOTAL,INVOICE_TYPE,INVOICE_STATUS,DOCUMENT_NUMBER
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-111,SAR,2025-01-28T00:00:00.000+00:00,2050,"LPG IMPORT SOURCE",2050,2050,2050,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-112,SAR,2025-01-28T00:00:00.000+00:00,2100,"LPG IMPORT SOURCE",2100,2100,2100,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-113,SAR,2025-01-28T00:00:00.000+00:00,2150,"LPG IMPORT SOURCE",2150,2150,2150,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-114,SAR,2025-01-28T00:00:00.000+00:00,2200,"LPG IMPORT SOURCE",2200,2200,2200,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-102,SAR,2025-01-29T00:00:00.000+00:00,1600,"LPG IMPORT SOURCE",1600,1600,1600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-103,SAR,2025-01-29T00:00:00.000+00:00,1650,"LPG IMPORT SOURCE",1650,1650,1650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-104,SAR,2025-01-29T00:00:00.000+00:00,1700,"LPG IMPORT SOURCE",1700,1700,1700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-105,SAR,2025-01-29T00:00:00.000+00:00,1750,"LPG IMPORT SOURCE",1750,1750,1750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-106,SAR,2025-01-29T00:00:00.000+00:00,1800,"LPG IMPORT SOURCE",1800,1800,1800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-107,SAR,2025-01-29T00:00:00.000+00:00,1850,"LPG IMPORT SOURCE",1850,1850,1850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-108,SAR,2025-01-29T00:00:00.000+00:00,1900,"LPG IMPORT SOURCE",1900,1900,1900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-109,SAR,2025-01-29T00:00:00.000+00:00,1950,"LPG IMPORT SOURCE",1950,1950,1950,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-110,SAR,2025-01-29T00:00:00.000+00:00,2000,"LPG IMPORT SOURCE",2000,2000,2000,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-111,SAR,2025-01-29T00:00:00.000+00:00,2050,"LPG IMPORT SOURCE",2050,2050,2050,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-112,SAR,2025-01-29T00:00:00.000+00:00,2100,"LPG IMPORT SOURCE",2100,2100,2100,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-113,SAR,2025-01-29T00:00:00.000+00:00,2150,"LPG IMPORT SOURCE",2150,2150,2150,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-114,SAR,2025-01-29T00:00:00.000+00:00,2200,"LPG IMPORT SOURCE",2200,2200,2200,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-115,SAR,2025-01-29T00:00:00.000+00:00,2250,"LPG IMPORT SOURCE",2250,2250,2250,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-116,SAR,2025-01-29T00:00:00.000+00:00,2300,"LPG IMPORT SOURCE",2300,2300,2300,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-115,SAR,2025-01-28T00:00:00.000+00:00,2250,"LPG IMPORT SOURCE",2250,2250,2250,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-116,SAR,2025-01-28T00:00:00.000+00:00,2300,"LPG IMPORT SOURCE",2300,2300,2300,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-117,SAR,2025-01-28T00:00:00.000+00:00,2350,"LPG IMPORT SOURCE",2350,2350,2350,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-118,SAR,2025-01-28T00:00:00.000+00:00,2400,"LPG IMPORT SOURCE",2400,2400,2400,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-119,SAR,2025-01-28T00:00:00.000+00:00,2450,"LPG IMPORT SOURCE",2450,2450,2450,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-120,SAR,2025-01-28T00:00:00.000+00:00,2500,"LPG IMPORT SOURCE",2500,2500,2500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-121,SAR,2025-01-28T00:00:00.000+00:00,2550,"LPG IMPORT SOURCE",2550,2550,2550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-122,SAR,2025-01-28T00:00:00.000+00:00,2600,"LPG IMPORT SOURCE",2600,2600,2600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-123,SAR,2025-01-28T00:00:00.000+00:00,2650,"LPG IMPORT SOURCE",2650,2650,2650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-124,SAR,2025-01-28T00:00:00.000+00:00,2700,"LPG IMPORT SOURCE",2700,2700,2700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-125,SAR,2025-01-28T00:00:00.000+00:00,2750,"LPG IMPORT SOURCE",2750,2750,2750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-126,SAR,2025-01-28T00:00:00.000+00:00,2800,"LPG IMPORT SOURCE",2800,2800,2800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-127,SAR,2025-01-28T00:00:00.000+00:00,2850,"LPG IMPORT SOURCE",2850,2850,2850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-128,SAR,2025-01-28T00:00:00.000+00:00,2900,"LPG IMPORT SOURCE",2900,2900,2900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-129,SAR,2025-01-28T00:00:00.000+00:00,2950,"LPG IMPORT SOURCE",2950,2950,2950,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-117,SAR,2025-01-29T00:00:00.000+00:00,2350,"LPG IMPORT SOURCE",2350,2350,2350,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-118,SAR,2025-01-29T00:00:00.000+00:00,2400,"LPG IMPORT SOURCE",2400,2400,2400,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-119,SAR,2025-01-29T00:00:00.000+00:00,2450,"LPG IMPORT SOURCE",2450,2450,2450,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-120,SAR,2025-01-29T00:00:00.000+00:00,2500,"LPG IMPORT SOURCE",2500,2500,2500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-121,SAR,2025-01-29T00:00:00.000+00:00,2550,"LPG IMPORT SOURCE",2550,2550,2550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-122,SAR,2025-01-29T00:00:00.000+00:00,2600,"LPG IMPORT SOURCE",2600,2600,2600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-123,SAR,2025-01-29T00:00:00.000+00:00,2650,"LPG IMPORT SOURCE",2650,2650,2650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-124,SAR,2025-01-29T00:00:00.000+00:00,2700,"LPG IMPORT SOURCE",2700,2700,2700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-125,SAR,2025-01-29T00:00:00.000+00:00,2750,"LPG IMPORT SOURCE",2750,2750,2750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-126,SAR,2025-01-29T00:00:00.000+00:00,2800,"LPG IMPORT SOURCE",2800,2800,2800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-127,SAR,2025-01-29T00:00:00.000+00:00,2850,"LPG IMPORT SOURCE",2850,2850,2850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-128,SAR,2025-01-29T00:00:00.000+00:00,2900,"LPG IMPORT SOURCE",2900,2900,2900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-129,SAR,2025-01-29T00:00:00.000+00:00,2950,"LPG IMPORT SOURCE",2950,2950,2950,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-130,SAR,2025-01-29T00:00:00.000+00:00,3000,"LPG IMPORT SOURCE",3000,3000,3000,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-131,SAR,2025-01-29T00:00:00.000+00:00,3050,"LPG IMPORT SOURCE",3050,3050,3050,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-130,SAR,2025-01-28T00:00:00.000+00:00,3000,"LPG IMPORT SOURCE",3000,3000,3000,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-131,SAR,2025-01-28T00:00:00.000+00:00,3050,"LPG IMPORT SOURCE",3050,3050,3050,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-132,SAR,2025-01-28T00:00:00.000+00:00,3100,"LPG IMPORT SOURCE",3100,3100,3100,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-133,SAR,2025-01-28T00:00:00.000+00:00,3150,"LPG IMPORT SOURCE",3150,3150,3150,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-134,SAR,2025-01-28T00:00:00.000+00:00,3200,"LPG IMPORT SOURCE",3200,3200,3200,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-135,SAR,2025-01-28T00:00:00.000+00:00,3250,"LPG IMPORT SOURCE",3250,3250,3250,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-136,SAR,2025-01-28T00:00:00.000+00:00,3300,"LPG IMPORT SOURCE",3300,3300,3300,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-137,SAR,2025-01-28T00:00:00.000+00:00,3350,"LPG IMPORT SOURCE",3350,3350,3350,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-138,SAR,2025-01-28T00:00:00.000+00:00,3400,"LPG IMPORT SOURCE",3400,3400,3400,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-139,SAR,2025-01-28T00:00:00.000+00:00,3450,"LPG IMPORT SOURCE",3450,3450,3450,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-140,SAR,2025-01-28T00:00:00.000+00:00,3500,"LPG IMPORT SOURCE",3500,3500,3500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-141,SAR,2025-01-28T00:00:00.000+00:00,3550,"LPG IMPORT SOURCE",3550,3550,3550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-142,SAR,2025-01-28T00:00:00.000+00:00,3600,"LPG IMPORT SOURCE",3600,3600,3600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-143,SAR,2025-01-28T00:00:00.000+00:00,3650,"LPG IMPORT SOURCE",3650,3650,3650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-144,SAR,2025-01-28T00:00:00.000+00:00,3700,"LPG IMPORT SOURCE",3700,3700,3700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-132,SAR,2025-01-29T00:00:00.000+00:00,3100,"LPG IMPORT SOURCE",3100,3100,3100,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-133,SAR,2025-01-29T00:00:00.000+00:00,3150,"LPG IMPORT SOURCE",3150,3150,3150,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-134,SAR,2025-01-29T00:00:00.000+00:00,3200,"LPG IMPORT SOURCE",3200,3200,3200,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-135,SAR,2025-01-29T00:00:00.000+00:00,3250,"LPG IMPORT SOURCE",3250,3250,3250,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-136,SAR,2025-01-29T00:00:00.000+00:00,3300,"LPG IMPORT SOURCE",3300,3300,3300,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-137,SAR,2025-01-29T00:00:00.000+00:00,3350,"LPG IMPORT SOURCE",3350,3350,3350,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-138,SAR,2025-01-29T00:00:00.000+00:00,3400,"LPG IMPORT SOURCE",3400,3400,3400,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-139,SAR,2025-01-29T00:00:00.000+00:00,3450,"LPG IMPORT SOURCE",3450,3450,3450,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-145,SAR,2025-01-28T00:00:00.000+00:00,3750,"LPG IMPORT SOURCE",3750,3750,3750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-146,SAR,2025-01-28T00:00:00.000+00:00,3800,"LPG IMPORT SOURCE",3800,3800,3800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-147,SAR,2025-01-28T00:00:00.000+00:00,3850,"LPG IMPORT SOURCE",3850,3850,3850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-148,SAR,2025-01-28T00:00:00.000+00:00,3900,"LPG IMPORT SOURCE",3900,3900,3900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-149,SAR,2025-01-28T00:00:00.000+00:00,3950,"LPG IMPORT SOURCE",3950,3950,3950,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-140,SAR,2025-01-29T00:00:00.000+00:00,3500,"LPG IMPORT SOURCE",3500,3500,3500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-141,SAR,2025-01-29T00:00:00.000+00:00,3550,"LPG IMPORT SOURCE",3550,3550,3550,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-142,SAR,2025-01-29T00:00:00.000+00:00,3600,"LPG IMPORT SOURCE",3600,3600,3600,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-143,SAR,2025-01-29T00:00:00.000+00:00,3650,"LPG IMPORT SOURCE",3650,3650,3650,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-144,SAR,2025-01-29T00:00:00.000+00:00,3700,"LPG IMPORT SOURCE",3700,3700,3700,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-145,SAR,2025-01-29T00:00:00.000+00:00,3750,"LPG IMPORT SOURCE",3750,3750,3750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-146,SAR,2025-01-29T00:00:00.000+00:00,3800,"LPG IMPORT SOURCE",3800,3800,3800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-147,SAR,2025-01-29T00:00:00.000+00:00,3850,"LPG IMPORT SOURCE",3850,3850,3850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-148,SAR,2025-01-29T00:00:00.000+00:00,3900,"LPG IMPORT SOURCE",3900,3900,3900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",1015-149,SAR,2025-01-29T00:00:00.000+00:00,3950,"LPG IMPORT SOURCE",3950,3950,3950,INV,OPEN,
,,,,"THE SAMSUNG M52",177342,164596,207787,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",3000,SAR,2024-10-06T00:00:00.000+00:00,10500,"LPG IMPORT SOURCE",10500,10500,10500,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",500000,SAR,2024-10-15T00:00:00.000+00:00,300,"LPG IMPORT SOURCE",300,300,300,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-46,SAR,2025-01-28T00:00:00.000+00:00,3750,"LPG IMPORT SOURCE",3750,3750,3750,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-47,SAR,2025-01-28T00:00:00.000+00:00,3800,"LPG IMPORT SOURCE",3800,3800,3800,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-48,SAR,2025-01-28T00:00:00.000+00:00,3850,"LPG IMPORT SOURCE",3850,3850,3850,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-49,SAR,2025-01-28T00:00:00.000+00:00,3900,"LPG IMPORT SOURCE",3900,3900,3900,INV,OPEN,
,,,,"THE BETTER HOME",175347,163589,207744,,,"LPG_BUSINESS UNIT","LPG TRANSACTION",4555-50,SAR,2025-01-28T00:00:00.000+00:00,3950,"LPG IMPORT SOURCE",3950,3950,3950,INV,OPEN,
